nazev;proces;kategorie;ulice;cp;psc;kontakt;;nazev;proces;kategorie;ulice;cp;psc;kontakt
Robotika Brno;kurzy;sdílená dílna;Sokolská;366/1;60200;https://robotikabrno.cz/;;Robotika Brno;kurzy;sdílená dílna;Sokolská;366/1;60200;https://robotikabrno.cz/
Sdílená dílna na Moraváku;kurzy;sdílená dílna;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/sdilena-dilna-brno;;Sdílená dílna na Moraváku;kurzy;sdílená dílna;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/sdilena-dilna-brno
Eko Retro maringotky;kurzy;sdílená dílna;Pisárky;;60373;http://hikersbay.com/europe/czechrepublic/hotel/cz/eko-retro-maringotky-brno.html?lang=cs;;Eko Retro maringotky;kurzy;sdílená dílna;Pisárky;;60373;http://hikersbay.com/europe/czechrepublic/hotel/cz/eko-retro-maringotky-brno.html?lang=cs
Sdílené prostory na Moraváku;kurzy;sdílená dílna;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/rezervace-brno;;Sdílené prostory na Moraváku;kurzy;sdílená dílna;Moravské náměstí;753/12;60200;https://www.skautskyinstitut.cz/rezervace-brno
Ženský vzdělávací ústav Vesna;kurzy;vzdělávání;Údolní;10;;;;Ženský vzdělávací ústav Vesna;kurzy;vzdělávání;Údolní;10;;
Nadace ENVIOPTIMUM;kurzy;vzdělávání;Podbabská;283/5;62100;;;Nadace ENVIOPTIMUM;kurzy;vzdělávání;Podbabská;283/5;62100;
Bajkazyl;kurzy;vzdělávání;Dukelská třída;59a;61400;https://www.facebook.com/bjkzlbrno/about?locale=cs_CZ;;;;;;;;
BikeKitchen;kurzy;vzdělávání;Přízova;2/335;60200;https://bikekitchenbrno.cz/;;;;;;;;
Brno šije;kurzy;vzdělávání;Veveří;39/476;60200;http://www.brnosije.cz/;;;;;;;;
Fablab Brno;kurzy;vzdělávání;Purkyňova;127/649;61200;https://www.fablabbrno.cz/;;;;;;;;
Hnutí Brontosaurus;kurzy;vzdělávání;Hvězdová;10/306;60200;https://www.brontosaurus.cz/;;;;;;;;
Impact Hub;kurzy;vzdělávání;Cyrilská;7/508;60200;https://www.hubbrno.cz/;;;;;;;;
Institut Cirkulární Ekonomiky, z.ú.;kurzy;vzdělávání;Purkyňova;125/648;61200;https://incien.org/;;;;;;;;
Krejčovna;kurzy;vzdělávání;Boettingrova;3/3812;63600;https://www.krejcovna.cz/sluzby/kurzy-siti/;;;;;;;;
Marie Javorská - kurzy šití;kurzy;vzdělávání;Körnerova;7/455;60200;http://www.modedama.cz/kurzy-siti/krejcovstvi-marie-javorska/;;;;;;;;
Rezekvítek;kurzy;vzdělávání;Štolcova;14/465;61800;http://www.rezekvitek.cz/;;;;;;;;
Sdílené prostory na Moraváku;kurzy;sdílená dílna;Moravské náměstí;12/753;60200;https://www.skautskyinstitut.cz/rezervace-brno;;;;;;;;
Skautský institut v Brně;kurzy;vzdělávání;Moravské náměstí;12/753;60200;https://www.skautskyinstitut.cz/su-v-brne/;;;;;;;;
Sonnentor;kurzy;vzdělávání;Šilingrovo náměstí;7/343;60200;https://www.sonnentor.com/cs-cz;;;;;;;;
Středisko volného času Lužánky;kurzy;vzdělávání;Lidická;50/1880;60200;https://www.luzanky.cz/;;;;;;;;
Střední škola umění a designu a Vyšší odborná škola Brno;kurzy;vzdělávání;Husova;10/537;60200;https://www.ssudbrno.cz/cs/stredni-skola/obory/;;;;;;;;
Vyšší odborná škola textilní;kurzy;vzdělávání;Francouzská;101/427;60200;https://www.ssudbrno.cz/cs/vos-skola/obory/;;;;;;;;
YMCA;kurzy;vzdělávání;Kounicova;3;60200;http://www.ymcabrno.cz/;;;;;;;;
